START_DATE,END_DATE,CATEGORY,START,PURPOSE,MILES,STOP
01-01-2016 21:11,01-01-2016 21:17,Business,Fort Pierce,Meal-Entertain,5.1,Fort Pierce
01-02-2016 01:25,01-02-2016 01:37,Business,Fort Pierce,Unknown,5,Fort Pierce
01-02-2016 20:25,01-02-2016 20:38,Business,Fort Pierce,Errand-Supplies,4.8,Fort Pierce
01-05-2016 17:31,01-05-2016 17:45,Business,Fort Pierce,Meeting,4.7,Fort Pierce
01-06-2016 14:42,01-06-2016 15:49,Business,Fort Pierce,Customer Visit,63.7,West Palm Beach
01-06-2016 17:15,01-06-2016 17:19,Business,West Palm Beach,Meal-Entertain,4.3,West Palm Beach
01-06-2016 17:30,01-06-2016 17:35,Business,West Palm Beach,Meeting,7.1,Palm Beach
01-07-2016 13:27,01-07-2016 13:33,Business,Cary,Meeting,0.8,Cary
01-10-2016 08:05,01-10-2016 08:25,Business,Cary,Meeting,8.3,Morrisville
01-10-2016 12:17,01-10-2016 12:44,Business,Jamaica,Customer Visit,16.5,New York
01-10-2016 15:08,01-10-2016 15:51,Business,New York,Meeting,10.8,Queens
01-10-2016 18:18,01-10-2016 18:53,Business,Elmhurst,Meeting,7.5,New York
01-10-2016 19:12,01-10-2016 19:32,Business,Midtown,Meeting,6.2,East Harlem
01-11-2016 08:55,01-11-2016 09:21,Business,East Harlem,Temporary Site,6.4,NoMad
01-11-2016 11:56,01-11-2016 12:03,Business,Flatiron District,Errand-Supplies,1.6,Midtown
01-11-2016 13:32,01-11-2016 13:46,Business,Midtown,Meal-Entertain,1.7,Midtown East
01-11-2016 14:30,01-11-2016 14:43,Business,Midtown East,Meal-Entertain,1.9,Midtown
01-12-2016 12:33,01-12-2016 12:49,Business,Midtown,Meal-Entertain,1.9,Hudson Square
01-12-2016 12:53,01-12-2016 13:09,Business,Hudson Square,Meal-Entertain,4,Lower Manhattan
01-12-2016 14:42,01-12-2016 14:56,Business,Lower Manhattan,Errand-Supplies,1.8,Hudson Square
01-12-2016 15:13,01-12-2016 15:28,Business,Hudson Square,Customer Visit,2.4,Hell's Kitchen
01-12-2016 15:42,01-12-2016 15:54,Business,Hell's Kitchen,Errand-Supplies,2,Midtown
01-12-2016 16:02,01-12-2016 17:00,Business,New York,Meeting,15.1,Queens County
1-13-2016 13:54,1-13-2016 14:07,Business,Downtown,Meeting,11.2,Gulfton
1-13-2016 15:00,1-13-2016 15:28,Business,Gulfton,Meeting,11.8,Downtown
1-14-2016 16:29,1-14-2016 17:05,Business,Houston,Customer Visit,21.9,Houston
1-14-2016 21:39,1-14-2016 21:45,Business,Eagan Park,Errand-Supplies,3.9,Jamestown Court
1-15-2016 0:41,1-15-2016 1:01,Business,Morrisville,Errand-Supplies,8,Cary
1-15-2016 11:43,1-15-2016 12:03,Business,Cary,Meal-Entertain,10.4,Durham
1-15-2016 13:26,1-15-2016 13:44,Business,Durham,Meal-Entertain,10.4,Cary
1-18-2016 14:55,1-18-2016 15:06,Business,Cary,Meal-Entertain,4.8,Cary
1-18-2016 16:13,1-18-2016 16:24,Business,Farmington Woods,Meal-Entertain,4.7,Whitebridge
1-19-2016 9:09,1-19-2016 9:23,Business,Whitebridge,,7.2,Lake Wellingborough
1-19-2016 10:55,1-19-2016 11:09,Business,Lake Wellingborough,Temporary Site,7.6,Whitebridge
1-20-2016 10:36,1-20-2016 11:11,Business,Cary,Meeting,17.1,Raleigh
1-20-2016 11:48,1-20-2016 12:19,Business,Fayetteville Street,Meeting,15.1,Umstead
1-20-2016 13:25,1-20-2016 14:19,Business,Raleigh,Customer Visit,40.2,Cary
1-21-2016 14:25,1-21-2016 14:29,Business,Cary,Errand-Supplies,1.6,Cary
1-21-2016 14:43,1-21-2016 14:51,Business,Cary,Meal-Entertain,2.4,Cary
1-21-2016 16:01,1-21-2016 16:06,Business,Cary,Meal-Entertain,1,Cary
1-26-2016 10:41,1-26-2016 10:50,Business,Whitebridge,Meal-Entertain,2,Hazelwood
1-26-2016 12:33,1-26-2016 12:41,Business,Hazelwood,Errand-Supplies,2.3,Whitebridge
1-26-2016 16:24,1-26-2016 16:32,Business,Whitebridge,Errand-Supplies,1.9,Westpark Place
1-26-2016 17:17,1-26-2016 17:22,Business,Cary,Errand-Supplies,1.4,Cary
1-26-2016 17:27,1-26-2016 17:29,Business,Cary,Errand-Supplies,0.5,Cary
1-27-2016 9:24,1-27-2016 9:31,Business,Cary,Meeting,1.8,Cary
1-27-2016 10:19,1-27-2016 10:48,Business,Cary,Customer Visit,18.7,Raleigh
1-27-2016 12:34,1-27-2016 12:44,Business,Fairmont,Customer Visit,3.4,Meredith Townes
1-27-2016 14:05,1-27-2016 14:13,Business,Raleigh,Customer Visit,2.7,Raleigh
1-27-2016 14:46,1-27-2016 15:08,Business,Raleigh,Customer Visit,12.9,Cary
1-28-2016 12:28,1-28-2016 13:00,Business,Cary,Temporary Site,19,Raleigh
1-28-2016 15:11,1-28-2016 15:31,Business,Meredith Townes,Meeting,14.7,Leesville Hollow
1-28-2016 16:21,1-28-2016 16:51,Business,Raleigh,Meeting,15.7,Cary
1-29-2016 9:31,1-29-2016 9:45,Business,Cary,Customer Visit,4.6,Cary
1-29-2016 10:56,1-29-2016 11:07,Business,Cary,Meeting,5.2,Cary
1-29-2016 11:43,1-29-2016 12:03,Business,Cary,Meeting,10.4,Durham
1-29-2016 13:24,1-29-2016 13:47,Business,Durham,Meeting,10.1,Cary
1-29-2016 18:31,1-29-2016 18:52,Business,Cary,Errand-Supplies,5.8,Apex
1-29-2016 21:21,1-29-2016 21:40,Business,Apex,Meal-Entertain,5.5,Cary
1-30-2016 16:21,1-30-2016 16:33,Business,Cary,Errand-Supplies,5.7,Apex
1-30-2016 18:09,1-30-2016 18:24,Business,Apex,Customer Visit,5.7,Cary
02-01-2016 10:35,02-01-2016 11:15,Business,Cary,Customer Visit,19.4,Chapel Hill
02-01-2016 12:10,02-01-2016 12:43,Business,Chapel Hill,Customer Visit,23.3,Cary
02-01-2016 12:56,02-01-2016 13:07,Business,Northwoods,Meal-Entertain,3.9,Whitebridge
02-02-2016 13:04,02-02-2016 13:23,Business,Whitebridge,Meeting,8.3,Williamsburg Manor
02-02-2016 13:51,02-02-2016 14:06,Business,Cary,Errand-Supplies,6,Cary
02-02-2016 14:38,02-02-2016 14:42,Business,Cary,Errand-Supplies,1.6,Cary
02-04-2016 08:40,02-04-2016 09:01,Business,Cary,Errand-Supplies,5.2,Morrisville
02-04-2016 09:37,02-04-2016 10:09,Business,Morrisville,Meal-Entertain,9.7,Cary
02-04-2016 10:26,02-04-2016 10:32,Business,Cary,Meal-Entertain,1.6,Cary
02-04-2016 15:59,02-04-2016 16:03,Business,Cary,Meal-Entertain,1.1,Cary
02-04-2016 16:35,02-04-2016 16:39,Business,Cary,Meal-Entertain,1.6,Cary
02-04-2016 18:04,02-04-2016 18:31,Business,Whitebridge,Meeting,9,Macgregor Downs
02-04-2016 20:36,02-04-2016 20:55,Business,Cary,Meeting,7.7,Cary
02-05-2016 11:47,02-05-2016 12:07,Business,Cary,Meeting,10.4,Durham
02-05-2016 13:22,02-05-2016 13:41,Business,Durham,Meeting,10.4,Cary
02-06-2016 16:20,02-06-2016 16:53,Business,Cary,Between Offices,11.4,Raleigh
02-06-2016 18:57,02-06-2016 19:21,Business,Raleigh,Errand-Supplies,9,Cary
02-06-2016 19:28,02-06-2016 19:37,Business,Edgehill Farms,Meal-Entertain,3.2,Whitebridge
02-07-2016 16:49,02-07-2016 17:01,Business,Cary,Errand-Supplies,5.6,Apex
02-07-2016 18:03,02-07-2016 18:17,Business,Apex,Customer Visit,5.7,Cary
02-07-2016 18:39,02-07-2016 18:53,Business,Cary,Temporary Site,6.1,Morrisville
02-07-2016 20:22,02-07-2016 20:40,Business,Morrisville,Meeting,6.1,Cary
02-08-2016 12:57,02-08-2016 13:08,Business,Whitebridge,Meal-Entertain,4.3,Edgehill Farms
02-08-2016 14:00,02-08-2016 14:10,Business,Edgehill Farms,Meal-Entertain,2.7,Whitebridge
02-09-2016 10:54,02-09-2016 11:07,Personal,Whitebridge,,5.3,Northwoods
02-09-2016 11:43,02-09-2016 11:50,Personal,Northwoods,,3,Tanglewood
02-09-2016 13:36,02-09-2016 13:52,Personal,Tanglewood,,5.1,Preston
02-09-2016 13:58,02-09-2016 14:02,Personal,Preston,,1.5,Whitebridge
02-09-2016 18:55,02-09-2016 19:11,Business,Cary,,6.1,Morrisville
02-09-2016 20:24,02-09-2016 20:40,Business,Morrisville,Meal-Entertain,6.1,Cary
