START_DATE,END_DATE,CATEGORY,START,PURPOSE,MILES,STOP,Cluster
2016-01-01 21:11:00,01-01-2016 21:17,Business,Fort Pierce,Meal-Entertain,-0.2695581573247336,Fort Pierce,4
2016-01-02 01:25:00,01-02-2016 01:37,Business,Fort Pierce,Unknown,-0.2738522283183241,Fort Pierce,4
2016-01-02 20:25:00,01-02-2016 20:38,Business,Fort Pierce,Errand-Supplies,-0.28244037030550534,Fort Pierce,4
2016-01-05 17:31:00,01-05-2016 17:45,Business,Fort Pierce,Meeting,-0.2867344412990959,Fort Pierce,4
2016-01-06 14:42:00,01-06-2016 15:49,Business,Fort Pierce,Customer Visit,2.246767444919351,West Palm Beach,3
2016-01-06 17:15:00,01-06-2016 17:19,Business,West Palm Beach,Meal-Entertain,-0.30391072527345825,West Palm Beach,4
2016-01-06 17:30:00,01-06-2016 17:35,Business,West Palm Beach,Meeting,-0.18367673745292182,Palm Beach,4
2016-01-07 13:27:00,01-07-2016 13:33,Business,Cary,Meeting,-0.4542032100491288,Cary,4
2016-01-10 08:05:00,01-10-2016 08:25,Business,Cary,Meeting,-0.13214788552983472,Morrisville,4
2016-01-10 12:17:00,01-10-2016 12:44,Business,Jamaica,Customer Visit,0.21996593594459343,New York,2
2016-01-10 15:08:00,01-10-2016 15:51,Business,New York,Meeting,-0.02479611069007003,Queens,2
2016-01-10 18:18:00,01-10-2016 18:53,Business,Elmhurst,Meeting,-0.16650045347855946,New York,4
2016-01-10 19:12:00,01-10-2016 19:32,Business,Midtown,Meeting,-0.22232337639523708,East Harlem,4
2016-01-11 08:55:00,01-11-2016 09:21,Business,East Harlem,Temporary Site,-0.2137352344080559,NoMad,4
2016-01-11 11:56:00,01-11-2016 12:03,Business,Flatiron District,Errand-Supplies,-0.4198506421004041,Midtown,4
2016-01-11 13:32:00,01-11-2016 13:46,Business,Midtown,Meal-Entertain,-0.41555657110681354,Midtown East,4
2016-01-11 14:30:00,01-11-2016 14:43,Business,Midtown East,Meal-Entertain,-0.4069684291196323,Midtown,4
2016-01-12 12:33:00,01-12-2016 12:49,Business,Midtown,Meal-Entertain,-0.4069684291196323,Hudson Square,4
2016-01-12 12:53:00,01-12-2016 13:09,Business,Hudson Square,Meal-Entertain,-0.31679293825423,Lower Manhattan,4
2016-01-12 14:42:00,01-12-2016 14:56,Business,Lower Manhattan,Errand-Supplies,-0.4112625001132229,Hudson Square,4
2016-01-12 15:13:00,01-12-2016 15:28,Business,Hudson Square,Customer Visit,-0.3854980741516794,Hell's Kitchen,4
2016-01-12 15:42:00,01-12-2016 15:54,Business,Hell's Kitchen,Errand-Supplies,-0.40267435812604174,Midtown,4
2016-01-12 16:02:00,01-12-2016 17:00,Business,New York,Meeting,0.1598489420343252,Queens County,2
2016-01-13 13:54:00,1-13-2016 14:07,Business,Downtown,Meeting,-0.00761982671570774,Gulfton,2
2016-01-13 15:00:00,1-13-2016 15:28,Business,Gulfton,Meeting,0.018144599245835846,Downtown,2
