START_DATE,END_DATE,CATEGORY,START,PURPOSE,MILES,STOP,Cluster
2016-01-01 21:11:00,01-01-2016 21:17,Business,Fort Pierce,Meal-Entertain,-0.26963275393178954,Fort Pierce,4
2016-01-02 01:25:00,01-02-2016 01:37,Business,Fort Pierce,Unknown,-0.2739290776471784,Fort Pierce,4
2016-01-02 20:25:00,01-02-2016 20:38,Business,Fort Pierce,Errand-Supplies,-0.28252172507795614,Fort Pierce,4
2016-01-05 17:31:00,01-05-2016 17:45,Business,Fort Pierce,Meeting,-0.28681804879334505,Fort Pierce,4
2016-01-06 14:42:00,01-06-2016 15:49,Business,Fort Pierce,Customer Visit,2.2480129432860902,West Palm Beach,3
2016-01-06 17:15:00,01-06-2016 17:19,Business,West Palm Beach,Meal-Entertain,-0.30400334365490056,West Palm Beach,4
2016-01-06 17:30:00,01-06-2016 17:35,Business,West Palm Beach,Meeting,-0.1837062796240121,Palm Beach,4
2016-01-07 13:27:00,01-07-2016 13:33,Business,Cary,Meeting,-0.4543746736935111,Cary,4
2016-01-10 08:05:00,01-10-2016 08:25,Business,Cary,Meeting,-0.13215039503934556,Morrisville,4
2016-01-10 12:17:00,01-10-2016 12:44,Business,Jamaica,Customer Visit,0.22014814962254203,New York,2
2016-01-10 15:08:00,01-10-2016 15:51,Business,New York,Meeting,-0.02474230215462372,Queens,2
2016-01-10 18:18:00,01-10-2016 18:53,Business,Elmhurst,Meeting,-0.16652098476245658,New York,4
2016-01-10 19:12:00,01-10-2016 19:32,Business,Midtown,Meeting,-0.2223731930625119,East Harlem,4
2016-01-11 08:55:00,01-11-2016 09:21,Business,East Harlem,Temporary Site,-0.21378054563173418,NoMad,4
2016-01-11 11:56:00,01-11-2016 12:03,Business,Flatiron District,Errand-Supplies,-0.4200040839704001,Midtown,4
2016-01-11 13:32:00,01-11-2016 13:46,Business,Midtown,Meal-Entertain,-0.41570776025501127,Midtown East,4
2016-01-11 14:30:00,01-11-2016 14:43,Business,Midtown East,Meal-Entertain,-0.40711511282423346,Midtown,4
2016-01-12 12:33:00,01-12-2016 12:49,Business,Midtown,Meal-Entertain,-0.40711511282423346,Hudson Square,4
2016-01-12 12:53:00,01-12-2016 13:09,Business,Hudson Square,Meal-Entertain,-0.31689231480106717,Lower Manhattan,4
2016-01-12 14:42:00,01-12-2016 14:56,Business,Lower Manhattan,Errand-Supplies,-0.4114114365396223,Hudson Square,4
2016-01-12 15:13:00,01-12-2016 15:28,Business,Hudson Square,Customer Visit,-0.3856334942472891,Hell's Kitchen,4
2016-01-12 15:42:00,01-12-2016 15:54,Business,Hell's Kitchen,Errand-Supplies,-0.4028187891088446,Midtown,4
2016-01-12 16:02:00,01-12-2016 17:00,Business,New York,Meeting,0.1599996176070978,Queens County,2
2016-01-13 13:54:00,1-13-2016 14:07,Business,Downtown,Meeting,-0.007557007293068288,Gulfton,2
2016-01-13 15:00:00,1-13-2016 15:28,Business,Gulfton,Meeting,0.018220934999265012,Downtown,2
2016-01-14 16:29:00,1-14-2016 17:05,Business,Houston,Customer Visit,0.45214963025354116,Houston,2
2016-01-14 21:39:00,1-14-2016 21:45,Business,Eagan Park,Errand-Supplies,-0.321188638516456,Jamestown Court,4
